,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
158,"Hamaoka, Brent Y",CHEM 6C - General Chemistry III (A),S122,39,11,72.7%,90.9%,6.9,C+ (2.40),C+ (2.44)
159,"Leigh, Brian",CHEM 7L - General Chemistry Laboratory (A),S122,91,23,95.2%,100.0%,8.77,B- (2.95),B (3.27)
160,"Leigh, Brian",CHEM 7L - General Chemistry Laboratory (B),S122,80,20,73.7%,89.5%,10.82,B (3.05),B (3.11)
161,"Li, Shaowei",CHEM 100A - Analytical Chemistry Lab (A),SP22,106,36,88.2%,91.2%,9.56,B (3.29),B (3.10)
162,"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),SP22,28,14,100.0%,100.0%,9.88,B (3.14),B (3.01)
163,"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (B),SP22,19,5,100.0%,100.0%,6.5,B (3.20),
164,"Sinha, Amitabha",CHEM 105A - Physical Chemistry Laboratory (A),SP22,45,15,73.3%,73.3%,11.83,B (3.07),B- (2.95)
165,"Sinha, Amitabha",CHEM 105A - Physical Chemistry Laboratory (B),SP22,41,15,66.7%,93.3%,10.37,B- (2.71),B- (2.85)
166,"Jennings, Patricia A.",CHEM 108 - Protein Biochemistry Lab (A),SP22,48,18,76.5%,64.7%,4.74,B+ (3.59),A- (3.88)
167,"Jennings, Patricia A.",CHEM 108 - Protein Biochemistry Lab (B),SP22,47,15,86.7%,73.3%,8.23,B (3.13),B+ (3.60)
168,"Muller, Ulrich K.",CHEM 109 - Recombinant DNA Laboratory (A),SP22,35,8,87.5%,87.5%,7.5,B+ (3.50),A- (3.77)
169,"Muller, Ulrich K.",CHEM 109 - Recombinant DNA Laboratory (B),SP22,45,15,93.3%,93.3%,8.77,B+ (3.53),A- (3.83)
170,"Mrse, Anthony Adrian",CHEM 11 - The Periodic Table (A),SP22,257,115,71.7%,87.6%,5.01,B- (2.96),C+ (2.68)
171,"Komives, Elizabeth A",CHEM 114B - Biochem Energetics&Metabolism (A),SP22,81,28,92.9%,100.0%,6.71,B+ (3.32),B (3.11)
172,"Joseph, Simpson",CHEM 114C - Biosynthesis of Macromolecules (A),SP22,232,83,87.8%,75.3%,6.55,B (3.24),B- (2.82)
173,"Ghosh, Gourisankar",CHEM 114D - Molecular & Cellular Biochem (A),SP22,12,3,100.0%,66.7%,6.5,B+ (3.33),
174,"Donoghue, Daniel J.",CHEM 118 - Pharmacology and Toxicology (A),SP22,281,97,91.4%,91.4%,5.62,B+ (3.41),B (3.02)
175,"Sailor, Michael Joseph",CHEM 120B - Inorganic Chemistry II (A),SP22,121,40,81.6%,81.1%,6.76,B (3.03),C+ (2.66)
176,"Stauber, Julia Megan",CHEM 123 - Advanced Inorganic Chem Lab (A),SP22,14,11,100.0%,100.0%,4.86,B+ (3.45),
177,"Tauber, Michael",CHEM 126B - Phys Biochem: Quantum Mech (A),SP22,96,32,70.4%,88.9%,7.33,B- (2.72),B- (2.78)
178,"Galperin, Michael",CHEM 132 - Chem Physics: Stat Thermo II (A),SP22,82,23,52.2%,69.6%,7.2,C+ (2.65),C+ (2.53)
179,"Ternansky, Robert J.",CHEM 143B - Organic Chemistry Lab II (A),SP22,73,26,80.8%,65.4%,7.73,B (3.12),B (3.20)
