,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
84,84,84,84,84,84,84,84,84,84,84,84,"Porter, George M",CSE 124 - Networked Services (A),SP18,175,52,92.2%,86.3%,7.72,B+ (3.38),B (3.19),3.19,cse,12
85,85,85,85,85,85,85,85,85,85,85,85,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP18,31,13,100.0%,100.0%,13.73,A- (3.92),A (4.00),4.0,cse,12
86,86,86,86,86,86,86,86,86,86,86,86,"Savage, Stefan",CSE 127 - Intro to Computer Security (A),SP18,170,68,100.0%,100.0%,7.78,B (3.29),B- (2.93),2.93,cse,12
87,87,87,87,87,87,87,87,87,87,87,87,"Gantman, Alexander",CSE 127 - Intro to Computer Security (B),SP18,45,10,100.0%,80.0%,8.7,B (3.00),B- (2.80),2.8,cse,12
88,88,88,88,88,88,88,88,88,88,88,88,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),WI18,135,101,86.7%,84.7%,11.79,B+ (3.55),B (3.05),3.05,cse,12
89,89,89,89,89,89,89,89,89,89,89,89,"Politz, Joseph Gibbs",CSE 12 - Basic Data Struct & OO Design (B),WI18,192,161,93.7%,94.9%,10.2,B+ (3.49),B+ (3.33),3.33,cse,12
90,90,90,90,90,90,90,90,90,90,90,90,"Politz, Joseph Gibbs",CSE 12 - Basic Data Struct & OO Design (C),WI18,127,111,96.3%,96.3%,9.52,B+ (3.50),B+ (3.33),3.33,cse,12
91,91,91,91,91,91,91,91,91,91,91,91,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI18,184,100,94.7%,98.9%,9.01,B (3.17),B (3.06),3.06,cse,12
92,92,92,92,92,92,92,92,92,92,92,92,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI18,179,99,96.9%,99.0%,9.48,B (3.22),B (3.06),3.06,cse,12
93,93,93,93,93,93,93,93,93,93,93,93,"Shacham, Hovav",CSE 127 - Intro to Computer Security (A),WI18,55,24,95.7%,95.7%,12.67,B (3.00),B- (2.79),2.79,cse,12
94,94,94,94,94,94,94,94,94,94,94,94,"Alvarado, Christine J.",CSE 12 - Basic Data Struct & OO Design (A),FA17,210,182,96.7%,98.3%,12.44,B+ (3.38),B (3.09),3.09,cse,12
95,95,95,95,95,95,95,95,95,95,95,95,"Alvarado, Christine J.",CSE 12 - Basic Data Struct & OO Design (B),FA17,134,112,97.3%,99.1%,12.32,B+ (3.49),B (3.09),3.09,cse,12
96,96,96,96,96,96,96,96,96,96,96,96,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),FA17,130,86,86.9%,92.9%,11.36,B (3.25),B- (2.81),2.81,cse,12
97,97,97,97,97,97,97,97,97,97,97,97,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (B),FA17,91,52,94.2%,92.0%,11.58,B+ (3.35),B- (2.81),2.81,cse,12
98,98,98,98,98,98,98,98,98,98,98,98,"Snoeren, Alex C.",CSE 123 - Computer Networks (A),FA17,84,28,91.7%,100.0%,8.59,B+ (3.45),B- (2.76),2.76,cse,12
99,99,99,99,99,99,99,99,99,99,99,99,"Porter, George M",CSE 124 - Networked Services (A),FA17,147,55,98.1%,98.1%,8.65,B+ (3.46),B (3.14),3.14,cse,12
100,100,100,100,100,100,100,100,100,100,100,100,"Levchenko, Kirill I.",CSE 127 - Intro to Computer Security (B),FA17,99,37,91.4%,62.9%,13.13,B- (2.77),B- (2.82),2.82,cse,12
101,101,101,101,101,101,101,101,101,101,101,101,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),S217,22,16,85.7%,85.7%,19.17,B+ (3.33),B+ (3.44),3.44,cse,12
102,102,102,102,102,102,102,102,102,102,102,102,"Polyzos, George C",CSE 123 - Computer Networks (A),S217,32,4,75.0%,50.0%,8.5,B+ (3.50),B (3.16),3.16,cse,12
103,103,103,103,103,103,103,103,103,103,103,103,"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (A),S117,109,20,95.0%,89.5%,13.8,B (3.25),C+ (2.56),2.56,cse,12
104,104,104,104,104,104,104,104,104,104,104,104,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SP17,168,105,90.9%,79.8%,13.55,B+ (3.48),B- (2.98),2.98,cse,12
