,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
102,102,102,102,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),SP10,34,18,61.1%,55.6%,2.17,B- (2.81),B- (2.83),2.83,cse,15L
103,103,103,103,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (C),SP10,28,13,38.5%,38.5%,3.42,B (3.00),B- (2.83),2.83,cse,15L
104,104,104,104,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),WI10,39,20,65.0%,40.0%,3.5,B (3.05),B- (2.74),2.74,cse,15L
105,105,105,105,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),WI10,34,14,64.3%,28.6%,3.07,B (3.14),B- (2.74),2.74,cse,15L
106,106,106,106,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (C),WI10,33,20,65.0%,45.0%,2.5,B (3.00),B- (2.74),2.74,cse,15L
107,107,107,107,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (D),WI10,35,22,72.7%,59.1%,2.95,B (3.18),B- (2.74),2.74,cse,15L
108,108,108,108,"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (A),FA09,43,38,76.3%,94.7%,2.24,B+ (3.65),B (3.10),3.1,cse,15L
109,109,109,109,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),FA09,37,32,76.7%,69.0%,2.31,B+ (3.66),B- (2.84),2.84,cse,15L
110,110,110,110,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),SU09,24,9,77.8%,87.5%,4.28,A- (3.78),,,cse,15L
111,111,111,111,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),SP09,35,33,81.8%,81.8%,2.68,B+ (3.48),B- (2.96),2.96,cse,15L
112,112,112,112,"Baden, Scott B.",CSE 15L - Software Tools&Techniques Lab (A),WI09,38,31,64.5%,64.5%,2.44,B (3.27),B- (3.00),3.0,cse,15L
113,113,113,113,"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (B),WI09,50,48,62.5%,63.8%,2.13,B+ (3.57),B (3.04),3.04,cse,15L
114,114,114,114,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (C),WI09,36,33,75.0%,87.9%,2.81,B+ (3.70),B (3.03),3.03,cse,15L
115,115,115,115,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),FA08,35,30,82.1%,85.7%,2.71,B+ (3.53),B- (2.98),2.98,cse,15L
116,116,116,116,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),FA08,32,32,71.9%,78.1%,2.56,B+ (3.42),B- (2.98),2.98,cse,15L
117,117,117,117,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),SU08,12,11,88.9%,100.0%,4.5,A- (3.89),,,cse,15L
118,118,118,118,"Baden, Scott B.",CSE 15L - Software Tools&Techniques Lab (A),SP08,39,36,91.7%,86.1%,2.17,B+ (3.61),B- (2.92),2.92,cse,15L
119,119,119,119,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),SP08,21,20,90.0%,100.0%,2.1,B+ (3.65),B+ (3.32),3.32,cse,15L
120,120,120,120,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),WI08,31,27,92.6%,92.3%,1.83,B+ (3.63),B (3.17),3.17,cse,15L
121,121,121,121,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),WI08,31,30,93.3%,96.7%,2.17,A- (3.72),B (3.17),3.17,cse,15L
122,122,122,122,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (C),WI08,33,32,75.0%,84.4%,2.82,A- (3.73),B (3.17),3.17,cse,15L
123,123,123,123,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),FA07,13,13,100.0%,100.0%,3.42,A- (3.92),,,cse,15L
124,124,124,124,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),FA07,7,7,100.0%,100.0%,1.07,A (4.00),,,cse,15L
