,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
122,122,122,122,122,122,122,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S213,33,6,100.0%,83.3%,14.17,B (3.17),B- (2.83),2.83,cse,11
123,123,123,123,123,123,123,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S113,37,6,100.0%,80.0%,8.9,B+ (3.50),C+ (2.64),2.64,cse,11
124,124,124,124,124,124,124,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP13,100,32,93.8%,62.5%,9.98,B+ (3.56),B- (2.94),2.94,cse,11
125,125,125,125,125,125,125,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP13,200,50,95.8%,89.6%,10.17,B+ (3.67),B (3.16),3.16,cse,11
126,126,126,126,126,126,126,"Krueger, Ingolf",CSE 112 - Advanced Software Engineering (A),SP13,31,10,100.0%,100.0%,7.3,B+ (3.40),B- (2.83),2.83,cse,11
127,127,127,127,127,127,127,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI13,153,71,90.0%,94.3%,13.49,B+ (3.51),B+ (3.39),3.39,cse,11
128,128,128,128,128,128,128,"Griswold, William G.",CSE 110 - Software Engineering (B),WI13,189,70,77.3%,50.0%,10.22,B+ (3.43),B (3.18),3.18,cse,11
129,129,129,129,129,129,129,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA12,190,120,96.4%,93.7%,9.57,A- (3.82),B+ (3.64),3.64,cse,11
130,130,130,130,130,130,130,"Gillespie, Gary N",CSE 110 - Software Engineering (A),FA12,40,12,100.0%,90.0%,12.1,B+ (3.60),B (3.08),3.08,cse,11
131,131,131,131,131,131,131,"Krueger, Ingolf",CSE 112 - Advanced Software Engineering (A),FA12,52,16,100.0%,100.0%,8.79,B+ (3.64),B+ (3.54),3.54,cse,11
132,132,132,132,132,132,132,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA12,25,9,87.5%,87.5%,7.25,A- (3.88),B+ (3.56),3.56,cse,11
133,133,133,133,133,133,133,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S112,41,10,100.0%,70.0%,10.7,A- (3.80),B (3.02),3.02,cse,11
134,134,134,134,134,134,134,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP12,48,21,100.0%,75.0%,9.7,B (3.26),C (2.22),2.22,cse,11
135,135,135,135,135,135,135,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP12,130,63,85.7%,66.7%,11.48,B+ (3.37),B (3.23),3.23,cse,11
136,136,136,136,136,136,136,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI12,44,21,90.5%,71.4%,10.79,B- (2.74),C+ (2.62),2.62,cse,11
137,137,137,137,137,137,137,"Gillespie, Gary N",CSE 110 - Software Engineering (A),WI12,120,59,81.4%,69.5%,11.81,B+ (3.38),B (3.15),3.15,cse,11
138,138,138,138,138,138,138,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA11,155,69,91.3%,95.5%,12.64,B+ (3.52),B+ (3.44),3.44,cse,11
139,139,139,139,139,139,139,"Howden, William E.",CSE 110 - Software Engineering (A),FA11,95,43,61.9%,50.0%,6.5,B (3.09),B- (2.81),2.81,cse,11
140,140,140,140,140,140,140,"Cowan, Lisa G.",CSE 118 - Ubiquitous Computing (A),FA11,39,29,86.2%,89.7%,6.5,B+ (3.62),B+ (3.45),3.45,cse,11
141,141,141,141,141,141,141,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S111,31,6,100.0%,100.0%,11.83,B+ (3.50),C+ (2.60),2.6,cse,11
142,142,142,142,142,142,142,"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP11,41,16,100.0%,92.9%,13.64,B (3.07),B- (2.96),2.96,cse,11
143,143,143,143,143,143,143,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP11,125,56,80.0%,69.1%,10.5,B+ (3.43),B (3.08),3.08,cse,11
