,GPA,yearly_num,dept,num,index,Course
LTWL 180GS,3.4547619047619054,0,LTWL,180,39,
LTWL 181,3.6839751552795033,0,LTWL,181,40,
LTWL 183,3.49979746835443,24,LTWL,183,41,
LTWL 184,3.408943820224719,31,LTWL,184,42,
LTWL 191,3.962394366197183,0,LTWL,191,43,
LTWR 8A,3.5831612140323217,191,LTWR,8,0,
LTWR 8B,3.6605808285946386,157,LTWR,8,1,
LTWR 8C,3.444781002638522,120,LTWR,8,2,
LTWR 100,3.6054949494949495,67,LTWR,100,3,
LTWR 101,3.88,0,LTWR,101,4,
LTWR 102,3.794226646248086,45,LTWR,102,5,
LTWR 103,3.6000000000000005,0,LTWR,103,6,
LTWR 104B,3.82,0,LTWR,104,7,
LTWR 106,3.794652173913043,45,LTWR,106,8,
LTWR 107,3.72219512195122,0,LTWR,107,9,
LTWR 110,3.5852486187845307,25,LTWR,110,10,
LTWR 110B,3.56,0,LTWR,110,11,
LTWR 112,3.683902439024391,0,LTWR,112,12,
LTWR 113,3.71043956043956,23,LTWR,113,13,
LTWR 114,3.600495867768595,20,LTWR,114,14,
LTWR 115,3.7261573033707864,48,LTWR,115,15,
LTWR 119,3.5677272727272733,20,LTWR,119,16,
LTWR 120,3.6601812688821753,23,LTWR,120,17,
LTWR 121,3.3806106870229007,0,LTWR,121,18,
LTWR 122,3.605982142857143,23,LTWR,122,19,
LTWR 124,3.79,0,LTWR,124,20,
LTWR 126,3.609514824797844,44,LTWR,126,21,
LTWR 129,3.9,0,LTWR,129,22,
LTWR 140,3.6723809523809527,23,LTWR,140,23,
LTWR 143,3.5230662983425414,31,LTWR,143,24,
LTWR 144,3.447603305785124,0,LTWR,144,25,
LTWR 148,3.653896103896104,0,LTWR,148,26,
LTWR 194,3.8217808219178084,20,LTWR,194,27,
MAE 1,2.8700000000000006,0,MAE,1,0,
MAE 2,3.3490097402597403,148,MAE,2,1,
MAE 3,3.382238193018481,486,MAE,3,2,
MAE 5,3.7058309037900874,0,MAE,5,3,
MAE 8,3.2575126549135978,604,MAE,8,4,
MAE 9,3.2946864899806076,0,MAE,9,5,
MAE 11,2.8594062708472316,358,MAE,11,6,
MAE 20,3.1410966981132074,147,MAE,20,7,
MAE 21,3.7500392927308446,107,MAE,21,8,
MAE 30A,3.074104859335038,305,MAE,30,9,
MAE 30B,3.0715544041450773,291,MAE,30,10,
MAE 40,2.933041237113402,242,MAE,40,11,
MAE 94,4.0,26,MAE,94,12,
MAE 101A,2.9857445339470656,259,MAE,101,13,
MAE 101B,2.971207038768216,270,MAE,101,14,
MAE 101C,2.961185983827493,198,MAE,101,15,
MAE 102,2.98,0,MAE,102,16,
MAE 104,2.8407697893972403,63,MAE,104,17,
MAE 105,3.035675618524001,273,MAE,105,18,
MAE 107,3.0909351221465755,357,MAE,107,19,
MAE 108,3.1868536804308794,105,MAE,108,20,
MAE 110A,2.7198985933922146,0,MAE,110,21,
MAE 110B,2.8546153846153848,0,MAE,110,22,
MAE 113,3.0673024740622505,82,MAE,113,23,
MAE 118,3.1204714828897337,0,MAE,118,24,
MAE 118A,2.970809523809524,0,MAE,118,25,
MAE 118B,2.9642914979757085,0,MAE,118,26,
MAE 118C,2.71484375,0,MAE,118,27,
MAE 119,3.203114534494307,118,MAE,119,28,
MAE 120,2.994808959156785,31,MAE,120,29,
MAE 122,3.0263068181818182,60,MAE,122,30,
MAE 123,3.4333258928571433,0,MAE,123,31,
MAE 124,3.236847575057737,0,MAE,124,32,
MAE 125,3.6922105263157894,0,MAE,125,33,
MAE 125A,3.055969387755102,0,MAE,125,34,
MAE 125B,3.62,0,MAE,125,35,
MAE 126A,3.444580152671756,0,MAE,126,36,
MAE 126B,3.669350961538462,0,MAE,126,37,
MAE 130,3.4463772455089816,53,MAE,130,38,
MAE 130A,3.019700176366843,0,MAE,130,39,
MAE 130B,2.9590169067000627,0,MAE,130,40,
MAE 130C,2.998019063406548,0,MAE,130,41,
MAE 131A,2.9572130074203407,320,MAE,131,42,
MAE 131B,3.10474034620506,66,MAE,131,43,
MAE 133,3.27133514986376,0,MAE,133,44,
MAE 140,2.93591507039003,0,MAE,140,45,
MAE 142,3.3421539792387547,84,MAE,142,46,
MAE 143A,2.9605069882159496,292,MAE,143,47,
MAE 143B,3.041192228436856,251,MAE,143,48,
MAE 143C,3.2952916666666665,0,MAE,143,49,
MAE 144,3.1982967032967036,34,MAE,144,50,
MAE 145,3.237244094488189,66,MAE,145,51,
MAE 146,3.61,0,MAE,146,52,
MAE 149,3.04,0,MAE,149,53,
MAE 150,2.8397220207880105,200,MAE,150,54,
MAE 154,3.5988725490196076,0,MAE,154,55,
MAE 155A,3.4967609254498715,61,MAE,155,56,
MAE 155B,3.7021500559910416,53,MAE,155,57,
MAE 156A,3.348589682915286,102,MAE,156,58,
MAE 156B,3.7088522304832714,85,MAE,156,59,
MAE 160,3.248394495412844,142,MAE,160,60,
MAE 165,3.84,0,MAE,165,61,
MAE 166,3.5104637096774196,47,MAE,166,62,
MAE 170,3.07737890204521,469,MAE,170,63,
MAE 171A,3.4347660818713455,111,MAE,171,64,
MAE 171B,3.732102318145484,0,MAE,171,65,
MAE 175A,3.571365280289331,74,MAE,175,66,
MAE 180A,3.0567972742759792,217,MAE,180,67,
MAE 180B,2.91,0,MAE,180,68,
MAE 181,2.913564668769716,59,MAE,181,69,
MAE 184,3.7519259259259257,44,MAE,184,70,
MAE 190,3.5880571428571426,52,MAE,190,71,
MATH 2,2.7368130081300817,256,MATH,2,0,
MATH 3C,2.6067203696765326,1311,MATH,3,1,
MATH 4C,2.6279506641366224,415,MATH,4,2,
MATH 10A,2.6704532725805685,2337,MATH,10,3,
MATH 10B,2.757518322629392,2684,MATH,10,4,
MATH 10C,2.825066783750058,1304,MATH,10,5,
MATH 11,2.959944186926497,1759,MATH,11,6,
MATH 15A,3.0409325153374236,0,MATH,15,7,
MATH 18,3.0177966804979253,3079,MATH,18,8,
MATH 20A,2.7042190793122574,1396,MATH,20,9,
MATH 20B,2.6855014411790927,2371,MATH,20,10,
MATH 20C,2.89399914360867,3429,MATH,20,11,
MATH 20D,2.9553874625660352,2054,MATH,20,12,
MATH 20E,2.917192307692308,2003,MATH,20,13,
MATH 20F,2.82501009671591,0,MATH,20,14,
MATH 31AH,3.1619944211994424,56,MATH,31,15,
MATH 31BH,3.5009333333333332,37,MATH,31,16,
MATH 31CH,3.4181884057971015,38,MATH,31,17,
MATH 95,3.916791569086651,56,MATH,95,18,
MATH 100A,2.8626165556612753,122,MATH,100,19,
MATH 100B,3.091168384879725,74,MATH,100,20,
MATH 100C,3.340694980694981,42,MATH,100,21,
MATH 102,2.8703826283500162,699,MATH,102,22,
MATH 103A,2.8129888268156424,574,MATH,103,23,
MATH 103B,2.9423097311624384,380,MATH,103,24,
MATH 104A,2.9209226594301216,0,MATH,104,25,
MATH 104B,2.87,0,MATH,104,26,
MATH 105,2.9832799999999997,73,MATH,105,27,
MATH 106,3.1600000000000006,30,MATH,106,28,
MATH 109,2.9087930881701376,1193,MATH,109,29,
MATH 110,2.6957291666666667,38,MATH,110,30,
MATH 110A,3.0004191616766467,0,MATH,110,31,
MATH 111A,3.7754017857142856,57,MATH,111,32,
MATH 114,3.02,0,MATH,114,33,
MATH 120A,2.879757834757835,139,MATH,120,34,
MATH 120B,3.2887163561076607,50,MATH,120,35,
MATH 121A,3.162761904761905,24,MATH,121,36,
MATH 121B,3.2875319148936173,20,MATH,121,37,
MATH 130,2.9451366120218583,62,MATH,130,38,
MATH 130A,3.0004663923182444,0,MATH,130,39,
MATH 130B,2.88,0,MATH,130,40,
MATH 140A,2.668358098068351,165,MATH,140,41,
MATH 140B,2.9314814814814816,99,MATH,140,42,
MATH 140C,3.2056993006993006,51,MATH,140,43,
MATH 142A,2.84055,434,MATH,142,44,
MATH 142B,3.0024910850738666,347,MATH,142,45,
MATH 148,3.5699999999999994,0,MATH,148,46,
MATH 150A,2.799897959183674,38,MATH,150,47,
MATH 152,3.2700891452543264,152,MATH,152,48,
MATH 153,2.8922657952069715,33,MATH,153,49,
MATH 154,3.0285062056737586,498,MATH,154,50,
MATH 155A,3.3043370786516855,81,MATH,155,51,
MATH 155B,3.47,0,MATH,155,52,
MATH 157,3.2859671532846715,102,MATH,157,53,
MATH 158,3.114166666666667,0,MATH,158,54,
MATH 160A,3.0316483516483514,41,MATH,160,55,
MATH 163,2.871187106918239,30,MATH,163,56,
MATH 168A,3.113022312373225,0,MATH,168,57,
MATH 170A,3.0453881365630364,720,MATH,170,58,
MATH 170B,3.0328312236286923,299,MATH,170,59,
MATH 170C,3.300515151515152,77,MATH,170,60,
MATH 171A,3.121057098765432,122,MATH,171,61,
MATH 171B,3.265987055016181,42,MATH,171,62,
MATH 173A,3.0317647058823534,88,MATH,173,63,
MATH 173B,3.568214285714286,25,MATH,173,64,
MATH 174,2.732656587473002,50,MATH,174,65,
MATH 179,3.5610843373493974,0,MATH,179,66,
MATH 180A,2.9553074636207164,848,MATH,180,67,
MATH 180B,3.038892215568862,202,MATH,180,68,
MATH 180C,3.030323488045007,142,MATH,180,69,
MATH 181A,3.078592882794646,274,MATH,181,70,
MATH 181B,3.22347876672484,217,MATH,181,71,
MATH 181C,3.449473684210526,0,MATH,181,72,
MATH 181E,3.8382781456953645,0,MATH,181,73,
MATH 182,3.2151724137931037,34,MATH,182,74,
MATH 183,3.0191221319652275,731,MATH,183,75,
MATH 184,3.079525641025641,309,MATH,184,76,
MATH 184A,2.9189218821379623,0,MATH,184,77,
MATH 185,3.3494554455445544,126,MATH,185,78,
MATH 186,3.0117811408614665,85,MATH,186,79,
MATH 187,3.3738925541941565,0,MATH,187,80,
MATH 187A,3.7076832393644286,416,MATH,187,81,
MATH 187B,3.510221238938053,0,MATH,187,82,
MATH 189,3.6087320475995073,507,MATH,189,83,
MATH 190,3.229078014184397,0,MATH,190,84,
MATH 190A,3.34,27,MATH,190,85,
MATH 191,3.8181395348837213,0,MATH,191,86,
MATH 193A,3.3208034026465025,122,MATH,193,87,
MATH 193B,3.435593561368209,61,MATH,193,88,
MATH 194,3.0367098248286366,67,MATH,194,89,
MGT 3,3.029471476510067,197,MGT,3,0,
MGT 4,2.9039759999999997,61,MGT,4,1,
MGT 5,3.032472074468085,559,MGT,5,2,
MGT 12,3.4290679865521105,906,MGT,12,3,
MGT 16,3.3962867472172014,1334,MGT,16,4,
MGT 18,3.04240097799511,1115,MGT,18,5,
MGT 18GS,3.7,0,MGT,18,6,
MGT 45,3.1295445285215364,764,MGT,45,7,
MGT 52,3.6927678571428575,174,MGT,52,8,
MGT 71,3.2194146341463417,205,MGT,71,9,
MGT 100,3.45234375,128,MGT,100,10,
MGT 102,3.5298601398601397,81,MGT,102,11,
MGT 103,3.2563671348855108,1647,MGT,103,12,
MGT 105,3.539528010586679,227,MGT,105,13,
MGT 106,3.232527559055118,157,MGT,106,14,
MGT 107,3.7755115511551156,229,MGT,107,15,
MGT 108R,3.81,79,MGT,108,16,
MGT 109,3.5925373134328358,0,MGT,109,17,
MGT 112,3.5432779198635975,783,MGT,112,18,
MGT 117,3.5694160583941605,0,MGT,117,19,
MGT 119,3.6536138613861384,89,MGT,119,20,
MGT 121A,3.452698689956332,213,MGT,121,21,
